,cleaned_text,target
5989,hail king,0
8439,please rescue myan prince bellanwila rajamaha viharaya two video surfaced,0
10179,know else natural tragedy,0
10780,use ur weapon take shot de could even start war,0
9183,think without feckless dilettante mother amp corrupt kleptocratic father obnoxious wealth amp sleazy conn,0
7378,sarileruneekevvaru worthy watching multiple time acting military episodesaction scene,0
6400,also check filtersrules set email account forward delete,0
4769,come medical emergency manage without powerwhats plan help thi,0
7867,really help feel seen oil spill rat nest,0
422,remember yoongi replied army english read tiny english voice im devastate,0
3375,dr twitter frnds bhogi 2020 festival shall demolish anti caanrc gang ruthlessly,0
2934,since damage done there nothing however urge fix mistake fulfil yo,0
222,another race baiting ambulance chaser exposed racism action peop,0
9818,coopt tagline intended rape survivor feminism,0
1202,giorno whats blood type fugo would know giorno would fugo think karl,0
1460,citizen gun grabbing governor order body bag via,0
2912,israel air force admitted mistake moving fighter jet hangar ahead intense rainfall last w,0
4320,sm listen keggs dont drown please please please report acc soondingies asking repo,0
10900,turn australia isnt blazing climate change blazing vast amount arsonist started,1
9019,however including bigger ship like falcon im gon na say slave 1,0
9707,chance survive sjdnsjs haikyuu,0
7933,weaker ed,0
1173,blood need dadu hik zaroratmand aurat khe emergency ove blood ji sakht zarorat ahe insan dost rabto kan co,0
3163,6 fatality reported west coast december 2018 december 2019 district municipality recorde,1
1906,sound like someone burning tea,0
6723,absolutely think quintonjefferson need paid team super bowl talent,0
5834,state anxiety shock amp grief climatechange 15 degree world look like,1
4509,nothing comparison planet wide dust storm hit mar 2018 nasa explain much,0
9069,bbc news china sinkhole six killed ground swallow bus,1
5060,local veterinarian take care horse retrieved volcano island horse currently tre,1
8337,realized 1132020 havent talked saint14 yet baked cooky,0
6680,yeh wouldnt mind change cup game see go especially dodgy larry lol,0
10536,school brace five year upheaval triumphant party gove heart melissa benn,0
7397,important ask need military side selfinterest nga eh,0
9874,jihadist islamic terrorism mention first terrorist attack u soil since 911,0
5652,omg got flattened british people dont want ex,0
3654,french designer cancel paris fashion show derailed strike chaos,1
8491,let pray safety everyone rescuer taalvolcano taalvolcanoeruption taaleruption http,0
8392,honoured welcome event today jeremy spoke vi,0
4827,thus match day fernhurst council need act life r,0
10877,australia bush wild fire,1
4615,wind turbine chop electric wire electrocute million bird bat annual,1
7018,chocolate lava cake,0
8252,tbh im confused pickering rn idk people telling truth hiding something confus,0
3139,mwangi kiunjuri locust told u supposed sprayed finally president uhuru kenyatta spra,0
6809,updated club statement mose masoe giving page,0
3617,good morning sorry hear due derailed freight train hitchin apology inconvenience caused,1
3923,trust deceit mind cause defeat propaganda lie plague life much,0
3694,derailment depot apparently,1
2063,well see far language commissioner get next time he sat casualty 8 hour,0
1913,imagine tony say bush fire part god plan much doubt,0
3980,thesis phd process brain washing indian millennials towar,0
1380,style p amp jadakiss body bagging beat 2016 mixtape via,0
10401,stay trouble stay touch part art trade pathologic pathologic2 http,0
10085,weather alert severe thunderstorm warning including locust grove ga jackson ga flovilla ga 115 est,1
10657,phivolcs taaleruption2020 taal volcano still spewing ash ash blown towards southwest metro man,1
8422,raintriggered incident including avalanche landslide caused 35 death across kpk kashmir,1
3205,death amp civilian plane shot mistake retaliation,1
7547,b4 sleeping know sunflower used assist clean nuclear disaster sunflower known hyper,0
5490,look volunteer manila district fire rescue saved resident also dog agoncillo town plann,1
7627,homer simpson must work ikata nuke plant mistakenly remove control rod responsible stop,0
10895,summer fun need redefined two year ago wide wild fire scandinavia around,1
7697,gather strength life storm new day come new strength new thought every wall,0
10535,find fascinating history always repeat lesson past case leading 1936 ar,0
2800,he crushed batting position change iyer,0
10989,winter norcal autumn lite get really crisp cold rain windstorm finally knock,1
406,taehyung army zip photo drop later tangenaaaaa ughhhh,0
6571,humble submission rsa amp zw hostage hardleft,0
8495,omg thank u rescuer good job doggo ur safe nw,0
10475,look provision financial assistance assistance individual crisis situation aics program,0
1751,haha love glasgow building go fire seems wrong empty buil,0
9277,looking new histrom family traveler stranded snowstorm familysaga victorianroman,0
10325,homeless feeling traumatised depressed bullying domestic abuse nervous breakdow,0
8259,emergency crew responding unspecified incident pickering plant abnormal radiation reported http,1
1976,run set raise money australian red cross help support affected bush fire sun 19,0
6106,im fan exo since debut bought album even japanese one watch concert yall talk,0
953,mum dying cervical cancer denied smear test despite bleeding sex,0
834,bioterrorism causing arrested hundred arsonist setting fire,1
4642,dont make snap finger electrocute death lol theelderscrollsonline eso mage altmer psijic,0
269,auspol onto theliarfromtheshire manipulation election,0
10096,iveseensomeshit year ago driving freeway thunderstorm car directly front,0
9741,read big fat book amd write big fat book way survive hellhole,0
1612,revert back previous argument mass shooti,0
7248,couldnt think actual defense greatest mass murderer history,0
5668,well dont flattened,0
4527,dust storm hair,0
741,got control running label 2 deal uphill battle llc,0
1220,want get pussy eaten im period freaky enough get bloody,0
2690,throw book never allowed drive much le school bus two child,0
7,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b,1
10585,status red gale warning storm force south southwest wind continuing time irish coastal wate,1
8248,responsible sendingdid send emergency alert regarding critical radiation incident pickering power pla,0
1263,bloody maury bloody maury bloody maury father,0
9318,model suggest could impact area south including east lake huron gta al,0
4835,yet wont long traffic starting move n7 nb following multivehicle collision j,1
6520,gov asked bond payment lhc denied gov hel,0
3394,new year resolution architect never demolish case never demolishing another building,0
10750,lethal weapon,0
153,beat response track airplane surface air missile,0
7992,fuckery making nauseous havent stopped thinking abt since taal erupted cant find news th,0
6814,buying injury one safest strategy buying good fixture selling 1st ki,0
1049,kinda blew nothing promote except preorder map soul7 follow kookv content,0
1325,body 10year old girl reported missing kayole home nairobi september last year,1
10070,nwsspc spc jan 14 2020 0600z thunderstorm outlook,1
6053,fuck point cake,0
3460,myreport maradus holy faith h20 alfa serene apartment demolished 11 january cj stayed b,1
9476,failed early intervention also clear failure admission key,0
10209,trapped,0
1445,dominican first fly head venezuela land haitian student amp relief another fact nobod,0
5387,see timmy call reaching reach hard youll pull brain along,0
9012,dman 0019 fastest growing disruptive technology detecting oil 40000ft new oil lease,0
1230,way house fish burger doubt bloody little anzac,0
5118,fat fox fanclub x gorge disc 2 terminal explosion,0
8514,dog rescuer great bunch people,0
8891,remember jennie making rap powerful cb dddd era even fandom screaming amp fangirlingfanboying ov,0
2335,since ive back ive seen roughly 6 friendship mine collapse,0
4939,hiv stigmabase south africa epicentre hiv pandemic world highest number new,1
5727,3 day fast clear headed little irritable first 24 nothing serious flattened stomach,0
9642,finch richardson rcb sunk yet,0
5292,fatality,0
1452,body bag year,0
10231,3 6 isle feel trapped inside also put 3 6 depends whic,0
8846,everyone screaming donny love island killing animal half yous wear canada goose,0
8972,se seismic reflection data reveal 3d structure newly discovered exmouth dyke sw,0
4504,israel cause dust storm middle east ww3 started usa amp israel v russia start op,0
6462,dll hijacking attack computerscience coding technology opengenus hourofcode,0
9921,movie shouldve called insert serial killerdomestic terrorist origin story,0
816,kid got influenza b reading biggest outbreak 27 year,0
7846,there oil spill there increased climate change frackin,0
2031,horseriding adventure volcano island banned henceforth tourism,0
2655,breaking people arrested ukrainian aircraft crash iran medium report,1
3976,1998 joe biden urged u dethrone saddam hussein weapon mass destruction via,1
73,come u aftershock,0
1561,lavrov libyan statehood bombed nato 2011 libyan still facing c,1
8948,hell scream get away chasing someone,0
8117,san jose police looking 95yearold henry robinson last seen sunday 3 pm driving 19999 green 4door,1
8261,taken emergency service arrive plant worker cleared confusion premier officia,1
4443,drowning jumped pool saved posttrauma selfie,0
8913,scream look gooood loooks ugly sob thank much honestly wonderful pers,0
2171,man seen fallen community amje alagbado lagos morning sick amp describe anyth,1
9763,survived im happy,0
3780,meant abomination desolation,0
874,got ta carry 80 logbook 4 posting like nevermind brace bcs stronk shit pejaba,0
3947,mr corbyn cared people mr corbyn wanted make people life better genuinely mr corbyn wanted thing,0
8060,make wife prostitute place somewhere police allegedly told activist robin verma,0
2933,choose leave eu caused irreparable damage public trust,0
913,shot one two colt aimed one left hand trent could pull trigger rem,0
10703,war zone,0
1999,high note much casualty sa mga people dont judge survive first th,0
5755,rre undervalued least 15 currently even company sat 36 id still holding believe next,0
9694,biggest death toll weve ever taken war inflicted cataclysm,0
1040,thing im talented either kinda blew mind wonder many people,0
8307,fire outbreak razed 39 shop ravaging furniture worth n21 million kugbo furniture market abu,1
