,cleaned_text,target
0,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze,1
1,telangana section 144 imposed bhainsa january 13 15 clash erupted two group january 12 po,1
2,arsonist set car ablaze dealership,1
3,arsonist set car ablaze dealership,1
4,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l,0
5,child chinese tweet would gone viral social medium would ablaze snl would made racist j,0
6,several house set ablaze ngemsibaa village oku sub division north west region cameroon,1
7,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b,1
8,national security minister kan dapaahs side chic set internet ablaze latest powerful video,0
9,creature who soul longer clarent blue ablaze thing carrying memory memory,0
10,image showing havoc caused cameroon military torched house okuthe shameless military reported,1
11,social medium went banana chuba hubbard announced monday evening plan return okstate,0
12,hausa youth set area office apapaiganmu local council development area ablaze okada rider stormed lg area office,1
13,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol,1
14,amen set whole system ablaze man,0
15,image showing havoc caused cameroon military torched house okuthe shameless military,1
16,cow today local factory sadly still ablaze redjanuary2020,1
17,rengoku set heart ablaze p missed style coloring c,0
18,paulzizkaphoto rundle ablaze wishing good evening,0
19,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou,1
20,cameroon bir soldier 05012020 invaded southerncameroons village kimar setting ablaze total,1
21,fire ablaze throughout landas prophosized apocalypse come fruitionnot building standingas come st,1
22,thankfultuesday isaiah 432 pas water pas r,0
23,walk fire scorched flame set ablaze product,0
24,originally intended fired boarder opposing ship crew gunner ship riggi,1
25,warm greeting occasion lohri winter pass may everyones woe trouble set ablaze,0
26,another arson njikomboyonwr ambazombies yesterday 1312020 set ablaze council building country wo,1
27,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become,1
28,kind true sadly,0
29,swear jam set world ablaze,0
30,marivan kurdistan province monday jan 13th 2020 protester set propaganda banner qassemsoleimani ablaze,1
31,marivan kurdistan province monday jan 13th 2020 protester set propaganda banner qassemsoleimani ablaze,1
32,turn blind eye icident setting ablaze 50 house h,1
33,love completely crazy youve fucking dream ripped like torn jean dont ev,0
34,term demon burning dark ruined people use magic interact without harm ac,0
35,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo,0
36,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med,1
37,gave u everything horrible foot infection wore one thong,0
38,yeah new swag point 100 since accident like totally transformed bob,0
39,cool day git push origin currentbranchname know,0
40,preorder newrelease today 12 witness connected investigating thenutcrackerconspiracy died either,1
41,back neck still fucked accident,0
42,rt prince harry confirmed mother princess diana death accident,1
43,note democrat muslim ban islam race soleimani terrorist amp exterminated assas,0
44,juwan johnsonoregon one big dude look like tight end stuck receiver group accident,0
45,appearance man upsidedown face new year eve party air force base 1943 man,0
46,speeding car rammed group people returning attending temple festival ayyappan kavu thum,1
47,friend army lost father accident mom right still unconscious please pray mo,1
48,mlindo vocalist another car accident,1
49,greater treasure highest human quality compassion courage hope even tragic accide,0
50,please help friend non fault accident thats resulted vehicle writte,0
51,hurt younger sibling accident,0
