cleaned_text,Predicted_Target
mark 63044 jesus feed five thousand 30 apostle returned jesus told done,0
injustice must stopped home sikh victim displaced 1984 riot razed madhya pradesh need,0
six people confirmed dead several others injured matatu travelling collided,1
venezuela countryside collapsing capital hum president order anatoly kurmanaev via nyt,0
weekend violence leaf 6 dead philadelphia,0
cover eye blood jesus brother fisayo please desist sinful,0
jungwoo fire truck era wouldve owned shit,0
macron storm trooper almost make young french girl smash face steel post laugh,0
way pe need burned,0
excision play headbanga thunderdome need know loterallt die like literally l,0
murdering scum ira blew innocent men woman amp child got scot free bliars lyi,1
get david bowie lightning bolt finished poof,0
british tourist madalyn davis died fall popular tourist spot sydney eastern suburb 7news http,1
avalanche strike neelumvalley amp 10 hour people couldnt make headline pakistanimedia laiba,0
time nikki shut live room rowdy,0
well wanted honesty thats say never wan na let go better,0
business impact australia wildfire starting sink rt,0
jealous holding enemy hostage cozz,0
joe rogan go carnivore diet suffers explosive diarrhea rainforest mudslide overtaking mountain road,0
great home state texas like say american citizen must come first te,0
imminent threat imminent threat 1 embassy 4 embassy well maybe embassy could lot,0
waaa love world collide,0
blizzard pushing world warcraft future vision nzoth update,0
excuse shooting commercial airplane innocent civilian oh sorry jeremy say,0
sunday davinder singh posted strategic antihijacking team srinagar airport arrested along wit,1
housing stock include tall building find external wall fire review mean,0
cleared route 325 366 back normal route highbridge road following earlier collision,1
let smoke blunt n fuck,0
moving quickly bush fire arsonist,0
losing catastrophic sum money festival order get 500 earned comedy,0
live coverage unloved corner rga central market getting flattened,0
torn utility wire snowstorm terminator time traveling,0
work pipenger desolation,0
white house press secretary equated muslim garb terrorism barely blip news cycle,0
today pak army soldier b thanking indian armyif indian army carry deadly strike neelum valle,1
collapse twin tower 7 world trade center result controlled demolition rather structu,0
tell story wallaby culture amp long human gone wallaby ppl rule,0
newscorp digging deeper adverse publicity coverage bushfires insistence concentrating arson backbur,0
really big deal mebut way home custer state park stayed hotel room mom amp,0
u expels 21 saudi military cadet gun attack,0
excuse sandalphon fell security heaven lax,0
unsilent democrat arent ready earthquake walkaway bringing 2020 thursday jan 16th find,0
case pending appeal high court q remain killed sohrabuddin tulsiram prajapati crucially,0
leaving labour done exactly right party want word tony benn,0
white saw trump riding golden horse alongside jesus armageddon,0
schumer renews call suicide bomb detector penn station,0
david camerons decision hold referendum expressed medium road traffic accident,0
man jailed serious injury collision,1
expected undoubtedly care hostage world sick woman,0
amazing commission boy avoozl part donation drive australlian wild fire,0
storm violent af bathong,0
veigar electrocute rn hilariously op 173 205 playing like 4 month,0
wouldve guessed imagine orgs detonate poli,0
check first article bushfires forecasted rain,0
baller imagine want stop speeder people driving phone,0
he sinking quick sand,0
excellent found progress flattened helped ask teacher give one task focus,0
damn sure aint posting kid app mufuckas obliterate child self esteem go viral,0
finland hxchallenge typhoon finnish air force commences eurofig,0
date january 13 2018 false emergency alert warning impending missile strike hawaii caused wides,1
love replying administrator email assume youre engulfed life,0
go etron rory im loving mine look typhoon grey model roberton,0
accused dishonesty men would see church reduced rubble meant,0
1i think one reason woman find difficult accept,0
scream sent im dead asf,0
street fighting real among minor mariveles st highway hill past curfew timelook,0
acl injury becoming common day really sad see amount talent set back recent time,0
fatality,0
two young girl aged 9 yr n 4 yr old kidnapped 30 min ago rani ki kothi lane gautam n,1
like 6 huge crush spider man figured mask saw tobey,0
malignant narcissism severe mental sickness representing quintessence evil sev,0
thats never movement normalizes suicidal tendency self,0
hershey raspberry crme kit kat chocolate lava kiss valentine day,0
today defense secretary state department said trump lying 4 u embassy risk lie,0
would emotional wreck randy,0
bloody bcci sold right even highlight,0
sitting thinking time grandfather wrote book nuclear reactor safety blurbed,0
fair didnt need throw gore portis mcgahee frosh 2000 hurricane,0
sad news coming bhainsa nirmal district telangana peaceful stone pelter mob selectively targeted h,1
200105 golden disc award carole555558 btsxgda jhope rm,0
marc hooker predecessor found drowned really accident,0
airquality melbourne hazardous today due bushfires advises melburnians try,0
unlike many coworkers wanted paycheck used time study violent crime terrorism count,0
study derailed selfesteem amp sometimes think im dumbim 3rd level amp thinking quitting school,0
never afraid lone wolf god see human echo voice dont ne,0
boomer got know use twitter release displaced anger instead child,0
tribute british tourist died cliff fall sydney diamond bay sad amp,1
ear see eye hear sleeping siren,0
eskenfilme kauft einen ford falcon und viel sprit die apocalypse kommt ohne tempolimit,0
know people bute called brandanes saint brendan navigator visited isla,0
riot cost team game unfortunate ult twitch twitchaffilate supportallstreamers,0
masculine man youre literally war zone toxic person,0
hellfire chase vellfire highway,0
thats like saying every mother father raised mass murderer blood,0
bellingcat hiring data scientist fulltime via,0
please help buddy channel hidden reaction he locked due coward tried hija,0
smarter imaginationyes trapped maker gamevote sidharthshukla,0
according 459300 people live win 14km taal almost 1m live win 17km danger zone cont,0
lmao tf going outside house hear helicopter cop car siren sound like 1 who run,0
argument uttered someone respect dont,0
mountain men led ser gregor clegane song ice fire really enjoyed paintin,0
ran well confirmed ran despite campaign refusing comm,0
body bagging momma,0
homer driving drunk collided person bed,0
castertonapsley rd c211 dergholm road closed emergency service access victraffic,1
drowning jumped pool saved posttrauma selfie,0
moan hail mary confessional masturbate weirdwaystoshowyourlove,0
forgot id like number 1 engulfed message,0
